MASTER RESULTS — TEXT VERSION FOR A TEXT-ONLY AI

Source file: master_results.csv
Rows: 513
Columns: 15

COLUMN SCHEMA
- model: Model variant name
- seq_len: Sequence length used in evaluation/training condition
- decoys: Number of decoys / distractors
- repeats: Repeat count for the target pattern
- seed: Random seed
- val_acc: Validation accuracy
- router_acc1: Top-1 router accuracy
- recall_at_m: Recall at M retrieved candidates
- pointer_acc: Pointer accuracy after retrieval/disambiguation
- router_miss: Router miss rate
- pointer_miss: Pointer miss rate
- value_miss: Value miss rate
- infer_ms_no_y: Inference time in milliseconds (no_y variant)
- peak_mem_mb: Peak memory in MB
- run_dir: Run directory path

PARSING NOTE
The table below is TAB-SEPARATED (TSV).
Each line after the header is one row.
Do not assume sorting beyond the original file order.

BEGIN_TSV
model	seq_len	decoys	repeats	seed	val_acc	router_acc1	recall_at_m	pointer_acc	router_miss	pointer_miss	value_miss	infer_ms_no_y	peak_mem_mb	run_dir
rft_base	2048	32	2	2	0.869531	0.745625	1	0.874531	0	0.125469	0.017344	2.932917	207.90918	runs/20260331_040021__step2_base_r2_d32/model=rft_base__L=2048__seed=2__decoys=32__repeats=2__topm=16__lr=0.0003__bs=16__steps=2000
rft_base	2048	32	4	0	0.85875	0.694219	1	0.862656	0	0.137344	0.019062	2.880184	252.183105	runs/20260331_074521__step2_base_r4_d32/model=rft_base__L=2048__seed=0__decoys=32__repeats=4__topm=16__lr=0.0003__bs=16__steps=2000
rft_base	2048	32	4	1	0.848437	0.690625	1	0.856563	0	0.143437	0.021875	2.919772	207.90918	runs/20260331_074521__step2_base_r4_d32/model=rft_base__L=2048__seed=1__decoys=32__repeats=4__topm=16__lr=0.0003__bs=16__steps=2000
rft_base	2048	32	4	2	0.860313	0.714375	1	0.865313	0	0.134687	0.017969	2.847969	207.90918	runs/20260331_074521__step2_base_r4_d32/model=rft_base__L=2048__seed=2__decoys=32__repeats=4__topm=16__lr=0.0003__bs=16__steps=2000
rft_base	2048	64	1	0	0.848594	0.727031	1	0.856875	0	0.143125	0.020469	2.842173	252.183105	runs/20260331_004600__step2_base_r1_d64/model=rft_base__L=2048__seed=0__decoys=64__repeats=1__topm=16__lr=0.0003__bs=16__steps=2000
rft_base	2048	64	1	1	0.857656	0.733906	1	0.865156	0	0.134844	0.020625	2.861792	207.90918	runs/20260331_004600__step2_base_r1_d64/model=rft_base__L=2048__seed=1__decoys=64__repeats=1__topm=16__lr=0.0003__bs=16__steps=2000
rft_base	2048	64	1	2	0.846406	0.734219	0.999844	0.855938	0.000156	0.144063	0.021094	2.909469	207.90918	runs/20260331_004600__step2_base_r1_d64/model=rft_base__L=2048__seed=2__decoys=64__repeats=1__topm=16__lr=0.0003__bs=16__steps=2000
rft_base	2048	64	2	0	0.851406	0.69125	1	0.85625	0	0.14375	0.020469	2.848241	252.183105	runs/20260331_043036__step2_base_r2_d64/model=rft_base__L=2048__seed=0__decoys=64__repeats=2__topm=16__lr=0.0003__bs=16__steps=2000
rft_base	2048	64	2	1	0.843125	0.694531	0.999687	0.85499	0.000313	0.145	0.022969	2.8578	207.90918	runs/20260331_043036__step2_base_r2_d64/model=rft_base__L=2048__seed=1__decoys=64__repeats=2__topm=16__lr=0.0003__bs=16__steps=2000
rft_base	2048	64	2	2	0.853125	0.717344	0.999844	0.859052	0.000156	0.140937	0.022812	2.877206	207.90918	runs/20260331_043036__step2_base_r2_d64/model=rft_base__L=2048__seed=2__decoys=64__repeats=2__topm=16__lr=0.0003__bs=16__steps=2000
